;data;tipo_di_ricovero;totali_tipi_ricovero
451;16/09/2020;semi-intensiva;0
452;17/09/2020;semi-intensiva;0
453;18/09/2020;semi-intensiva;0
454;19/09/2020;semi-intensiva;0
455;20/09/2020;semi-intensiva;0
456;21/09/2020;semi-intensiva;0
457;22/09/2020;semi-intensiva;0
458;23/09/2020;semi-intensiva;0
459;24/09/2020;semi-intensiva;0
460;25/09/2020;semi-intensiva;0
461;26/09/2020;semi-intensiva;0
462;27/09/2020;semi-intensiva;2
463;28/09/2020;semi-intensiva;2
464;29/09/2020;semi-intensiva;1
465;30/09/2020;semi-intensiva;2
466;01/10/2020;semi-intensiva;0
467;02/10/2020;semi-intensiva;2
468;03/10/2020;semi-intensiva;1
469;04/10/2020;semi-intensiva;0
470;05/10/2020;semi-intensiva;0
471;06/10/2020;semi-intensiva;0
472;07/10/2020;semi-intensiva;1
473;08/10/2020;semi-intensiva;0
474;09/10/2020;semi-intensiva;1
475;10/10/2020;semi-intensiva;0
476;11/10/2020;semi-intensiva;0
477;12/10/2020;semi-intensiva;0
478;13/10/2020;semi-intensiva;0
479;14/10/2020;semi-intensiva;0
480;15/10/2020;semi-intensiva;0
481;16/10/2020;semi-intensiva;1
482;17/10/2020;semi-intensiva;1
483;18/10/2020;semi-intensiva;2
484;19/10/2020;semi-intensiva;1
485;20/10/2020;semi-intensiva;4
486;21/10/2020;semi-intensiva;8
487;22/10/2020;semi-intensiva;8
488;23/10/2020;semi-intensiva;9
489;24/10/2020;semi-intensiva;13
490;25/10/2020;semi-intensiva;33
491;26/10/2020;semi-intensiva;40
492;27/10/2020;semi-intensiva;30
493;28/10/2020;semi-intensiva;49
494;25/02/2020;post-critica;0
495;26/02/2020;post-critica;0
496;27/02/2020;post-critica;0
497;28/02/2020;post-critica;0
498;29/02/2020;post-critica;0
499;01/03/2020;post-critica;0
500;02/03/2020;post-critica;0
501;03/03/2020;post-critica;0
502;04/03/2020;post-critica;0
503;05/03/2020;post-critica;0
504;06/03/2020;post-critica;0
505;07/03/2020;post-critica;0
506;08/03/2020;post-critica;0
507;09/03/2020;post-critica;0
508;10/03/2020;post-critica;0
509;11/03/2020;post-critica;0
510;12/03/2020;post-critica;0
511;13/03/2020;post-critica;0
512;14/03/2020;post-critica;0
513;15/03/2020;post-critica;10
514;16/03/2020;post-critica;16
515;17/03/2020;post-critica;29
516;18/03/2020;post-critica;58
517;19/03/2020;post-critica;77
518;20/03/2020;post-critica;97
519;21/03/2020;post-critica;120
520;22/03/2020;post-critica;137
521;23/03/2020;post-critica;162
522;24/03/2020;post-critica;169
523;25/03/2020;post-critica;182
524;26/03/2020;post-critica;198
525;27/03/2020;post-critica;209
526;28/03/2020;post-critica;188
527;29/03/2020;post-critica;158
528;30/03/2020;post-critica;160
529;31/03/2020;post-critica;155
530;01/04/2020;post-critica;156
531;02/04/2020;post-critica;154
532;03/04/2020;post-critica;154
533;04/04/2020;post-critica;164
534;05/04/2020;post-critica;187
535;06/04/2020;post-critica;193
536;07/04/2020;post-critica;198
537;08/04/2020;post-critica;204
538;09/04/2020;post-critica;211
539;10/04/2020;post-critica;209
540;11/04/2020;post-critica;228
541;12/04/2020;post-critica;225
542;13/04/2020;post-critica;223
543;14/04/2020;post-critica;222
544;15/04/2020;post-critica;220
545;16/04/2020;post-critica;231
546;17/04/2020;post-critica;241
547;18/04/2020;post-critica;234
548;19/04/2020;post-critica;231
549;20/04/2020;post-critica;232
550;21/04/2020;post-critica;231
551;22/04/2020;post-critica;227
552;23/04/2020;post-critica;229
553;24/04/2020;post-critica;226
554;25/04/2020;post-critica;225
555;26/04/2020;post-critica;225
556;27/04/2020;post-critica;226
557;28/04/2020;post-critica;223
558;29/04/2020;post-critica;222
559;30/04/2020;post-critica;218
560;01/05/2020;post-critica;209
561;02/05/2020;post-critica;207
562;03/05/2020;post-critica;210
563;04/05/2020;post-critica;236
564;05/05/2020;post-critica;228
565;06/05/2020;post-critica;198
566;07/05/2020;post-critica;208
567;08/05/2020;post-critica;227
568;09/05/2020;post-critica;231
569;10/05/2020;post-critica;226
570;11/05/2020;post-critica;226
571;12/05/2020;post-critica;233
572;13/05/2020;post-critica;237
573;14/05/2020;post-critica;232
574;15/05/2020;post-critica;246
575;16/05/2020;post-critica;244
576;17/05/2020;post-critica;238
577;18/05/2020;post-critica;238
578;19/05/2020;post-critica;236
579;20/05/2020;post-critica;233
580;21/05/2020;post-critica;227
581;22/05/2020;post-critica;219
